_id,origin_zone,Origin Name,Destination_zone,Destination Name,Commodity Group code,Commodity Group,Daily trips,comodity weight (KG),Commodity Value ($)
1,1000,Newfoundland And Labrado,3510,Frontenac,32,Empty,1.06, -   , -   
2,1100,Prince Edward Island,3520,Toronto,23,Paper and paper products,1.39," 18,522 "," 59,347 "
3,1100,Prince Edward Island,3520,Toronto,26,Potatoes,1.71," 37,951 "," 16,770 "
4,1100,Prince Edward Island,3541,Bruce,19,Other agriculture and food products,1.36," 41,836 "," 97,185 "
5,1200,Nova Scotia,3512,Hastings,19,Other agriculture and food products,1.03," 20,626 "," 28,943 "
6,1200,Nova Scotia,3520,Toronto,3,Automobiles and other vehicles/ gte,1.69," 19,469 "," 312,727 "
7,1200,Nova Scotia,3521,Peel,19,Other agriculture and food products,5.00," 70,653 "," 201,141 "
8,1200,Nova Scotia,3521,Peel,21,Other manufactured and miscellaneous goods,1.98," 23,131 "," 151,362 "
9,1200,Nova Scotia,3521,Peel,25,Plastics and rubber products,1.36," 29,497 "," 110,276 "
10,1200,Nova Scotia,7017,Illinois,25,Plastics and rubber products,1.42," 25,750 "," 95,671 "
11,1200,Nova Scotia,7026,Michigan,25,Plastics and rubber products,1.08," 19,053 "," 70,796 "
12,1200,Nova Scotia,7027,Minnesota,12,Machinery,1.93," 23,752 "," 255,267 "
13,1300,New Brunswick,2400,Quebec,26,Potatoes,1.39," 42,928 "," 18,970 "
14,1300,New Brunswick,3501,"Stormont, Dundas & Glengarry",23,Paper and paper products,2.12," 8,925 "," 21,502 "
15,1300,New Brunswick,3501,"Stormont, Dundas & Glengarry",32,Empty,1.38, -   , -   
16,1300,New Brunswick,3506,Ottawa-Carleton,19,Other agriculture and food products,1.58," 24,159 "," 31,649 "
17,1300,New Brunswick,3512,Hastings,21,Other manufactured and miscellaneous goods,1.61," 25,491 "," 173,216 "
18,1300,New Brunswick,3519,York,13,"Meat, fish and seafood",1.32," 24,545 "," 132,603 "
19,1300,New Brunswick,3519,York,19,Other agriculture and food products,1.22," 25,114 "," 37,346 "
20,1300,New Brunswick,3519,York,22,Other raw and finished forest products,1.46," 34,226 "," 11,106 "
21,1300,New Brunswick,3520,Toronto,5,Cement and non-metallic mineral products,1.71," 61,247 "," 257,059 "
22,1300,New Brunswick,3520,Toronto,13,"Meat, fish and seafood",2.30," 37,982 "," 185,575 "
23,1300,New Brunswick,3520,Toronto,23,Paper and paper products,6.62," 74,906 "," 199,336 "
24,1300,New Brunswick,3520,Toronto,26,Potatoes,1.01," 23,508 "," 10,388 "
25,1300,New Brunswick,3520,Toronto,32,Empty,1.85, -   , -   
26,1300,New Brunswick,3520,Toronto,33,Mail,1.97," 21,558 ", -   
27,1300,New Brunswick,3521,Peel,4,Base metals and articles of base metal,1.04," 9,687 "," 42,917 "
28,1300,New Brunswick,3521,Peel,13,"Meat, fish and seafood",2.32," 42,281 "," 155,031 "
29,1300,New Brunswick,3521,Peel,17,"Organic chemical, fertilizer",1.02," 20,676 "," 18,786 "
30,1300,New Brunswick,3521,Peel,19,Other agriculture and food products,9.86," 143,998 "," 236,423 "
31,1300,New Brunswick,3521,Peel,21,Other manufactured and miscellaneous goods,6.34," 74,702 "," 467,725 "
32,1300,New Brunswick,3521,Peel,22,Other raw and finished forest products,5.71," 131,231 "," 124,426 "
33,1300,New Brunswick,3521,Peel,23,Paper and paper products,2.70," 44,085 "," 81,022 "
34,1300,New Brunswick,3521,Peel,24,Parts & accessories for motors vehicles/ ogte,1.04," 2,166 "," 8,226 "
35,1300,New Brunswick,3521,Peel,32,Empty,1.96, -   , -   
36,1300,New Brunswick,3524,Halton,13,"Meat, fish and seafood",1.08," 15,857 "," 60,532 "
37,1300,New Brunswick,3524,Halton,22,Other raw and finished forest products,1.05," 26,336 "," 38,589 "
38,1300,New Brunswick,3524,Halton,23,Paper and paper products,1.10," 20,434 "," 24,119 "
39,1300,New Brunswick,3524,Halton,32,Empty,1.64, -   , -   
40,1300,New Brunswick,3526,Niagara,17,"Organic chemical, fertilizer",3.69," 74,365 "," 67,568 "
41,1300,New Brunswick,3530,Waterloo,19,Other agriculture and food products,1.20," 22,571 "," 19,933 "
42,1300,New Brunswick,3530,Waterloo,26,Potatoes,1.03," 23,653 "," 10,452 "
43,1300,New Brunswick,3536,Kent,22,Other raw and finished forest products,1.33," 31,902 "," 26,150 "
44,1300,New Brunswick,3543,Simcoe,26,Potatoes,2.38," 56,880 "," 25,136 "
45,1300,New Brunswick,4600,Manitoba,13,"Meat, fish and seafood",1.13," 24,881 "," 61,132 "
46,1300,New Brunswick,4600,Manitoba,19,Other agriculture and food products,1.34," 21,317 "," 35,567 "
